Order,State,12+ Estimate,12+ 95% CI (Lower),12+ 95% CI (Upper),12-17 Estimate,12-17 95% CI (Lower),12-17 95% CI (Upper),18-25 Estimate,18-25 95% CI (Lower),18-25 95% CI (Upper),26+ Estimate,26+ 95% CI (Lower),26+ 95% CI (Upper),18+ Estimate,18+ 95% CI (Lower),18+ 95% CI (Upper)
1,Total U.S.,84.16%,83.76%,84.57%,62.03%,60.85%,63.19%,81.25%,80.43%,82.05%,87.12%,86.66%,87.56%,86.33%,85.91%,86.74%
2,Northeast,84.00%,83.12%,84.85%,63.01%,61.22%,64.76%,80.06%,78.25%,81.74%,86.73%,85.72%,87.69%,85.86%,84.94%,86.74%
3,Midwest,84.30%,83.60%,84.98%,60.74%,59.07%,62.37%,81.14%,79.91%,82.31%,87.53%,86.75%,88.27%,86.66%,85.94%,87.34%
4,South,85.59%,84.96%,86.20%,62.97%,61.38%,64.53%,82.83%,81.67%,83.93%,88.64%,87.95%,89.29%,87.87%,87.23%,88.47%
5,West,81.88%,80.99%,82.73%,61.00%,59.06%,62.91%,79.71%,78.23%,81.12%,84.61%,83.60%,85.57%,83.95%,83.03%,84.83%
6,Alabama,86.98%,84.93%,88.78%,61.99%,56.72%,66.99%,84.56%,80.61%,87.83%,90.14%,87.82%,92.05%,89.40%,87.25%,91.22%
7,Alaska,80.56%,77.91%,82.97%,56.82%,51.44%,62.04%,76.48%,71.58%,80.75%,84.09%,80.95%,86.80%,83.08%,80.26%,85.58%
8,Arizona,84.33%,82.11%,86.31%,59.59%,54.36%,64.60%,82.60%,78.68%,85.92%,87.56%,84.97%,89.76%,86.87%,84.55%,88.89%
9,Arkansas,86.18%,84.06%,88.06%,61.70%,56.32%,66.80%,85.28%,81.50%,88.41%,89.29%,86.83%,91.33%,88.74%,86.51%,90.64%
10,California,81.67%,80.26%,82.99%,62.13%,59.09%,65.09%,79.21%,76.78%,81.44%,84.28%,82.63%,85.80%,83.59%,82.10%,84.97%
11,Colorado,81.34%,78.95%,83.52%,61.20%,56.40%,65.80%,79.81%,75.70%,83.37%,83.81%,81.03%,86.25%,83.28%,80.76%,85.52%
12,Connecticut,84.37%,81.79%,86.64%,61.60%,56.24%,66.69%,81.54%,76.97%,85.37%,87.27%,84.22%,89.81%,86.50%,83.75%,88.84%
13,Delaware,86.80%,84.61%,88.72%,64.03%,59.00%,68.76%,83.47%,79.43%,86.84%,89.59%,87.11%,91.64%,88.85%,86.55%,90.80%
14,District of Columbia,78.68%,75.72%,81.36%,61.59%,56.26%,66.65%,75.09%,68.72%,80.53%,80.41%,76.96%,83.46%,79.62%,76.52%,82.41%
15,Florida,86.46%,85.08%,87.73%,62.92%,59.34%,66.37%,83.29%,80.84%,85.49%,89.08%,87.52%,90.48%,88.42%,86.99%,89.72%
16,Georgia,86.17%,84.44%,87.74%,64.02%,59.63%,68.19%,84.75%,81.45%,87.55%,89.19%,87.20%,90.90%,88.57%,86.76%,90.16%
17,Hawaii,82.42%,79.90%,84.68%,58.51%,53.74%,63.12%,80.95%,76.82%,84.49%,84.98%,82.03%,87.52%,84.53%,81.84%,86.89%
18,Idaho,83.06%,80.76%,85.13%,58.57%,53.53%,63.45%,81.49%,77.52%,84.90%,86.63%,83.90%,88.96%,85.92%,83.44%,88.07%
19,Illinois,83.96%,82.41%,85.41%,61.41%,57.76%,64.93%,80.84%,77.95%,83.43%,87.04%,85.21%,88.67%,86.21%,84.54%,87.73%
20,Indiana,86.12%,84.07%,87.94%,62.81%,57.50%,67.82%,82.69%,78.94%,85.89%,89.59%,87.24%,91.54%,88.59%,86.45%,90.43%
21,Iowa,81.38%,78.94%,83.60%,56.38%,51.41%,61.23%,75.27%,70.36%,79.60%,85.40%,82.61%,87.81%,83.92%,81.31%,86.23%
22,Kansas,83.33%,80.98%,85.43%,60.60%,55.63%,65.36%,80.09%,75.93%,83.69%,86.79%,84.01%,89.15%,85.80%,83.29%,87.99%
23,Kentucky,87.03%,85.04%,88.79%,66.74%,61.52%,71.57%,84.65%,80.98%,87.72%,89.75%,87.48%,91.65%,89.06%,86.99%,90.83%
24,Louisiana,85.05%,82.75%,87.10%,58.97%,53.04%,64.65%,83.03%,79.07%,86.36%,88.47%,85.82%,90.67%,87.74%,85.32%,89.80%
25,Maine,85.84%,83.62%,87.81%,63.88%,58.99%,68.50%,81.92%,77.69%,85.50%,88.31%,85.75%,90.45%,87.60%,85.24%,89.63%
26,Maryland,85.21%,83.08%,87.12%,63.24%,58.46%,67.78%,81.54%,77.74%,84.81%,88.17%,85.67%,90.27%,87.33%,85.05%,89.30%
27,Massachusetts,82.59%,79.97%,84.93%,62.29%,56.97%,67.33%,75.30%,69.61%,80.23%,85.80%,82.86%,88.31%,84.31%,81.58%,86.70%
28,Michigan,85.18%,83.63%,86.60%,61.07%,57.49%,64.54%,82.30%,79.44%,84.85%,88.28%,86.47%,89.88%,87.46%,85.82%,88.94%
29,Minnesota,81.93%,79.70%,83.97%,58.11%,52.96%,63.09%,78.63%,74.74%,82.07%,85.21%,82.63%,87.47%,84.35%,82.01%,86.44%
30,Mississippi,86.72%,84.56%,88.63%,64.19%,58.69%,69.34%,86.56%,82.82%,89.59%,89.61%,87.11%,91.67%,89.18%,86.90%,91.10%
31,Missouri,84.73%,82.49%,86.74%,62.06%,57.23%,66.66%,80.38%,76.26%,83.94%,87.98%,85.38%,90.17%,86.97%,84.61%,89.01%
32,Montana,83.14%,80.71%,85.32%,59.92%,54.35%,65.24%,80.80%,76.64%,84.37%,86.00%,83.18%,88.41%,85.32%,82.75%,87.55%
33,Nebraska,83.10%,80.95%,85.05%,58.86%,53.98%,63.58%,78.82%,74.74%,82.40%,86.98%,84.48%,89.13%,85.78%,83.50%,87.79%
34,Nevada,83.99%,81.57%,86.15%,59.29%,53.41%,64.91%,81.36%,76.78%,85.21%,87.09%,84.36%,89.41%,86.40%,83.88%,88.59%
35,New Hampshire,85.66%,83.36%,87.68%,64.56%,59.60%,69.21%,82.13%,78.12%,85.55%,88.20%,85.55%,90.41%,87.43%,85.03%,89.49%
36,New Jersey,85.21%,83.12%,87.08%,64.20%,59.95%,68.24%,83.06%,79.58%,86.06%,87.82%,85.35%,89.93%,87.23%,84.99%,89.19%
