Order,State,12+ Estimate,12+ 95% CI (Lower),12+ 95% CI (Upper),12-17 Estimate,12-17 95% CI (Lower),12-17 95% CI (Upper),18-25 Estimate,18-25 95% CI (Lower),18-25 95% CI (Upper),26+ Estimate,26+ 95% CI (Lower),26+ 95% CI (Upper),18+ Estimate,18+ 95% CI (Lower),18+ 95% CI (Upper)
1,Total U.S.,0.84%,0.68%,1.04%,0.32%,0.18%,0.58%,0.80%,0.57%,1.14%,0.91%,0.71%,1.16%,0.89%,0.72%,1.12%
2,Northeast,0.86%,0.55%,1.33%,0.19%,0.10%,0.38%,0.81%,0.47%,1.40%,0.93%,0.58%,1.50%,0.92%,0.59%,1.43%
3,Midwest,0.77%,0.51%,1.17%,0.40%,0.21%,0.78%,0.88%,0.55%,1.40%,0.80%,0.50%,1.27%,0.81%,0.53%,1.24%
4,South,0.92%,0.64%,1.32%,0.27%,0.14%,0.55%,0.69%,0.41%,1.17%,1.03%,0.71%,1.49%,0.99%,0.69%,1.41%
5,West,0.77%,0.49%,1.21%,0.41%,0.22%,0.77%,0.91%,0.52%,1.58%,0.79%,0.47%,1.31%,0.80%,0.50%,1.28%
6,Alabama,1.27%,0.65%,2.48%,0.19%,0.08%,0.47%,0.42%,0.16%,1.10%,1.52%,0.75%,3.08%,1.38%,0.70%,2.71%
7,Alaska,1.37%,0.60%,3.08%,0.31%,0.14%,0.69%,0.44%,0.16%,1.20%,1.64%,0.68%,3.91%,1.48%,0.64%,3.39%
8,Arizona,0.95%,0.50%,1.80%,0.18%,0.07%,0.44%,1.10%,0.54%,2.23%,1.02%,0.49%,2.15%,1.03%,0.54%,1.98%
9,Arkansas,1.08%,0.59%,1.98%,0.52%,0.21%,1.25%,0.79%,0.39%,1.60%,1.19%,0.60%,2.38%,1.14%,0.60%,2.14%
10,California,0.70%,0.39%,1.26%,0.43%,0.21%,0.89%,1.07%,0.56%,2.03%,0.67%,0.33%,1.37%,0.73%,0.40%,1.34%
11,Colorado,0.92%,0.49%,1.73%,0.39%,0.18%,0.84%,0.78%,0.40%,1.54%,1.00%,0.49%,2.05%,0.97%,0.51%,1.86%
12,Connecticut,0.82%,0.38%,1.80%,0.05%,0.01%,0.23%,0.63%,0.27%,1.46%,0.94%,0.39%,2.20%,0.90%,0.41%,1.96%
13,Delaware,0.85%,0.41%,1.75%,0.00%,0.00%,0.61%,0.57%,0.23%,1.41%,0.97%,0.44%,2.11%,0.92%,0.44%,1.91%
14,District of Columbia,0.94%,0.43%,2.05%,0.07%,0.02%,0.27%,0.36%,0.10%,1.23%,1.09%,0.47%,2.52%,0.99%,0.45%,2.17%
15,Florida,0.91%,0.52%,1.61%,0.15%,0.06%,0.36%,0.66%,0.33%,1.32%,1.02%,0.55%,1.87%,0.98%,0.55%,1.73%
16,Georgia,0.66%,0.34%,1.28%,0.16%,0.07%,0.41%,0.78%,0.38%,1.63%,0.70%,0.33%,1.50%,0.71%,0.36%,1.40%
17,Hawaii,0.82%,0.30%,2.23%,0.38%,0.17%,0.84%,0.64%,0.23%,1.73%,0.88%,0.27%,2.79%,0.85%,0.30%,2.44%
18,Idaho,0.92%,0.48%,1.74%,0.83%,0.35%,1.94%,0.92%,0.47%,1.79%,0.93%,0.42%,2.05%,0.93%,0.46%,1.85%
19,Illinois,0.57%,0.29%,1.12%,0.27%,0.13%,0.58%,0.26%,0.08%,0.91%,0.65%,0.31%,1.35%,0.60%,0.30%,1.21%
20,Indiana,0.72%,0.39%,1.35%,0.46%,0.20%,1.04%,1.07%,0.57%,2.00%,0.70%,0.32%,1.54%,0.75%,0.39%,1.44%
21,Iowa,0.83%,0.44%,1.57%,0.65%,0.27%,1.56%,1.17%,0.62%,2.20%,0.80%,0.36%,1.78%,0.85%,0.43%,1.66%
22,Kansas,0.80%,0.43%,1.49%,0.47%,0.20%,1.07%,1.23%,0.64%,2.36%,0.77%,0.35%,1.69%,0.84%,0.44%,1.60%
23,Kentucky,1.05%,0.59%,1.85%,0.44%,0.20%,0.98%,1.26%,0.67%,2.35%,1.09%,0.54%,2.16%,1.11%,0.62%,2.00%
24,Louisiana,1.20%,0.63%,2.26%,0.12%,0.04%,0.33%,0.87%,0.39%,1.92%,1.38%,0.68%,2.78%,1.31%,0.68%,2.49%
25,Maine,1.65%,0.85%,3.17%,0.54%,0.24%,1.21%,0.79%,0.37%,1.67%,1.85%,0.91%,3.74%,1.74%,0.88%,3.39%
26,Maryland,1.23%,0.66%,2.28%,0.07%,0.02%,0.24%,1.04%,0.50%,2.14%,1.39%,0.70%,2.74%,1.34%,0.72%,2.50%
27,Massachusetts,1.04%,0.49%,2.23%,0.15%,0.06%,0.39%,0.70%,0.32%,1.52%,1.19%,0.51%,2.74%,1.12%,0.52%,2.41%
28,Michigan,0.72%,0.40%,1.30%,0.31%,0.14%,0.68%,0.90%,0.48%,1.68%,0.74%,0.37%,1.47%,0.76%,0.41%,1.39%
29,Minnesota,0.85%,0.45%,1.59%,0.38%,0.17%,0.85%,1.11%,0.55%,2.22%,0.87%,0.41%,1.83%,0.90%,0.47%,1.71%
30,Mississippi,2.86%,1.57%,5.15%,0.11%,0.03%,0.33%,0.80%,0.39%,1.64%,3.56%,1.90%,6.56%,3.17%,1.73%,5.71%
31,Missouri,0.95%,0.52%,1.75%,0.51%,0.23%,1.14%,0.95%,0.50%,1.80%,1.00%,0.48%,2.08%,1.00%,0.53%,1.87%
32,Montana,0.81%,0.40%,1.62%,0.93%,0.40%,2.19%,0.65%,0.32%,1.36%,0.81%,0.35%,1.88%,0.79%,0.37%,1.69%
